Time [s],Channel 3
21.009317400,1
21.015239100,0
21.015291200,1
21.015299900,0
21.015317300,1
21.021239000,0
21.021247700,1
21.021256400,0
21.021291100,1
21.021308500,0
21.021317200,1
21.027238900,0
21.027265000,1
21.027273700,0
21.027291100,1
21.027308400,0
21.027317100,1
21.033238900,0
21.033247500,1
21.033256200,0
21.033264900,1
21.033282300,0
21.033291000,1
21.033308400,0
21.033317000,1
21.039240600,0
21.039249300,1
21.039258000,0
21.039275400,1
21.039284100,0
21.039292700,1
21.039310100,0
21.039318800,1
21.045238500,0
21.045255800,1
21.045281900,0
21.045290600,1
21.045308000,0
21.045316600,1
21.051238600,0
21.051247300,1
21.051256000,0
21.051273400,1
21.051282100,0
21.051290800,1
21.051308100,0
21.051316800,1
21.057238500,0
21.057247200,1
21.057264600,0
21.057282000,1
21.057308000,0
21.057316700,1
21.063238500,0
21.063264500,1
21.063273200,0
21.063281900,1
21.063308000,0
21.063316600,1
21.069238400,0
21.069255800,1
21.069264500,0
21.069281800,1
21.069307900,0
21.069316600,1
21.075238300,0
21.075247000,1
21.075255700,0
21.075290400,1
21.075307800,0
21.075316500,1
21.081238200,0
21.081264300,1
21.081273000,0
21.081281700,1
21.081307700,0
21.081316400,1
21.087238100,0
21.087246800,1
21.087281600,0
21.087290300,1
21.087307600,0
21.087316300,1
21.093237900,0
21.093255300,1
21.093264000,0
21.093281300,1
21.093307400,0
21.093316100,1
21.099238000,0
21.099255300,1
21.099281400,0
21.099290100,1
21.099298800,0
21.099316100,1
21.105237900,0
21.105290000,1
21.105298700,0
21.105316000,1
21.111237800,0
21.111281200,1
21.111289900,0
21.111298600,1
21.111307300,0
21.111316000,1
21.117237700,0
21.117263800,1
21.117281100,0
21.117289800,1
21.117307200,0
21.117315900,1
21.123237600,0
21.123246300,1
21.123255000,0
21.123263700,1
21.123272400,0
21.123289700,1
21.123307100,0
21.123315800,1
21.129270000,0
21.129278700,1
21.129287400,0
21.129322100,1
21.129339500,0
21.129348200,1
21.135237400,0
21.135246100,1
21.135263500,0
21.135280800,1
21.135306900,0
21.135315600,1
21.141237400,0
21.141246000,1
21.141254700,0
21.141263400,1
21.141272100,0
21.141289500,1
21.141306900,0
21.141315500,1
21.147237300,0
21.147289400,1
21.147298100,0
21.147315500,1
21.153237200,0
21.153263300,1
21.153272000,0
21.153289300,1
21.153306700,0
21.153315400,1
21.159238800,0
21.159247500,1
21.159256200,0
21.159264900,1
21.159273600,0
21.159290900,1
21.159308300,0
21.159317000,1
21.165237900,0
21.165246600,1
21.165264000,0
21.165290000,1
21.165307400,0
21.165316100,1
21.171237000,0
21.171245700,1
21.171280400,0
21.171289100,1
21.171306500,0
21.171315200,1
21.177236900,0
21.177263000,1
21.177271700,0
21.177289000,1
21.177306400,0
21.177315100,1
21.183236800,0
21.183245500,1
21.183254200,0
21.183262900,1
21.183271600,0
21.183288900,1
21.183306300,0
21.183315000,1
21.189236700,0
21.189288800,1
21.189297500,0
21.189314900,1
21.195236600,0
21.195245300,1
21.195254000,0
21.195271400,1
21.195280100,0
21.195288800,1
21.195306100,0
21.195314800,1
21.201236500,0
21.201262600,1
21.201271300,0
21.201280000,1
21.201306000,0
21.201314700,1
21.207236500,0
21.207288600,1
21.207297300,0
21.207314600,1
21.213236400,0
21.213245100,1
21.213253800,0
21.213288500,1
21.213305900,0
21.213314600,1
21.219236300,0
21.219253700,1
21.219279800,0
21.219288400,1
21.219305800,0
21.219314500,1
21.225236200,0
21.225262300,1
21.225271000,0
21.225288400,1
21.225305700,0
21.225314400,1
21.231236200,0
21.231288300,1
21.231297000,0
21.231314300,1
21.237237900,0
21.237255300,1
21.237272700,0
21.237290000,1
21.237307400,0
21.237316100,1
21.243237700,0
21.243246400,1
21.243281100,0
21.243289800,1
21.243307200,0
21.243315900,1
21.249235900,0
21.249261900,1
21.249279300,0
21.249288000,1
21.249305400,0
21.249314100,1
21.255235900,0
21.255261900,1
