Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
6.925378000,0,0,0,1,0,0,0,0
6.925396000,0,0,0,0,0,0,0,0
6.925404000,0,0,0,1,0,0,0,0
6.925413000,0,0,0,0,0,0,0,0
6.925430000,0,0,0,1,0,0,0,0
6.925439000,0,0,0,0,0,0,0,0
6.925448000,0,0,0,1,0,0,0,0
6.925456000,0,0,0,0,0,0,0,0
6.925465000,0,0,0,1,0,0,0,0
6.925474000,0,0,0,0,0,0,0,0
6.925482000,0,0,0,1,0,0,0,0
6.925500000,0,0,0,0,0,0,0,0
6.925508000,0,0,0,1,0,0,0,0
6.925517000,0,0,0,0,0,0,0,0
6.925535000,0,0,0,1,0,0,0,0
6.925543000,0,0,0,0,0,0,0,0
6.925587000,0,0,0,1,0,0,0,0
6.925604000,0,0,0,0,0,0,0,0
6.925621000,0,0,0,1,0,0,0,0
6.925630000,0,0,0,0,0,0,0,0
6.925639000,0,0,0,1,0,0,0,0
6.925647000,0,0,0,0,0,0,0,0
6.925674000,0,0,0,1,0,0,0,0
6.925691000,0,0,0,0,0,0,0,0
6.925708000,0,0,0,1,0,0,0,0
6.925717000,0,0,0,0,0,0,0,0
6.925734000,0,0,0,1,0,0,0,0
6.925743000,0,0,0,0,0,0,0,0
6.925760000,0,0,0,1,0,0,0,0
6.925778000,0,0,0,0,0,0,0,0
6.925795000,0,0,0,1,0,0,0,0
6.925804000,0,0,0,0,0,0,0,0
6.925813000,0,0,0,1,0,0,0,0
6.925830000,0,0,0,0,0,0,0,0
6.925847000,0,0,0,1,0,0,0,0
6.925865000,0,0,0,0,0,0,0,0
6.925882000,0,0,0,1,0,0,0,0
6.925891000,0,0,0,0,0,0,0,0
6.925917000,0,0,0,1,0,0,0,0
6.925925000,0,0,0,0,0,0,0,0
6.925934000,0,0,0,1,0,0,0,0
6.925952000,0,0,0,0,0,0,0,0
6.925969000,0,0,0,1,0,0,0,0
6.925978000,0,0,0,0,0,0,0,0
6.925986000,0,0,0,1,0,0,0,0
6.925995000,0,0,0,0,0,0,0,0
6.926004000,0,0,0,1,0,0,0,0
6.926012000,0,0,0,0,0,0,0,0
6.926021000,0,0,0,1,0,0,0,0
6.926038000,0,0,0,0,0,0,0,0
6.926056000,0,0,0,1,0,0,0,0
6.926064000,0,0,0,0,0,0,0,0
6.926082000,0,0,0,1,0,0,0,0
6.926099000,0,0,0,0,0,0,0,0
6.926108000,0,0,0,1,0,0,0,0
6.926125000,0,0,0,0,0,0,0,0
6.926143000,0,0,0,1,0,0,0,0
6.926151000,0,0,0,0,0,0,0,0
6.926160000,0,0,0,1,0,0,0,0
6.926186000,0,0,0,0,0,0,0,0
6.926195000,0,0,0,1,0,0,0,0
6.926212000,0,0,0,0,0,0,0,0
6.926230000,0,0,0,1,0,0,0,0
6.926238000,0,0,0,0,0,0,0,0
6.926273000,0,0,0,1,0,0,0,0
6.926299000,0,0,0,0,0,0,0,0
6.926316000,0,0,0,1,0,0,0,0
6.926325000,0,0,0,0,0,0,0,0
6.926334000,0,0,0,1,0,0,0,0
6.926342000,0,0,0,0,0,0,0,0
6.926360000,0,0,0,1,0,0,0,0
6.926386000,0,0,0,0,0,0,0,0
6.926403000,0,0,0,1,0,0,0,0
7.131542000,0,0,0,0,0,0,0,0
7.131551000,0,0,0,1,0,0,0,0
7.131560000,0,0,0,0,0,0,0,0
7.131568000,0,0,0,1,0,0,0,0
7.131586000,0,0,0,0,0,0,0,0
7.131603000,0,0,0,1,0,0,0,0
7.131612000,0,0,0,0,0,0,0,0
7.131621000,0,0,0,1,0,0,0,0
7.131629000,0,0,0,0,0,0,0,0
7.131638000,0,0,0,1,0,0,0,0
7.131647000,0,0,0,0,0,0,0,0
7.131664000,0,0,0,1,0,0,0,0
7.131673000,0,0,0,0,0,0,0,0
7.131690000,0,0,0,1,0,0,0,0
7.131699000,0,0,0,0,0,0,0,0
7.131707000,0,0,0,1,0,0,0,0
